country,years,songs,artists,places,points,qualification
Iceland,2006,Congratulations,Silvia Night,Didn't qualify,,#13 in semi-final
Iceland,2005,If I Had Your Love,Selma,Didn't qualify,,#16 in semi-final
Iceland,2004,Heaven,Jónsi,19,16,Top-10 2003
Iceland,2003,Open Your Heart,Birgitta,8,81,
Iceland,2001,Angel,TwoTricky,22,3,
Iceland,2000,Tell Me!,August & Telma,12,45,
Iceland,1999,All Out Of Luck,Selma Björnsdóttir,2,146,
Iceland,1997,Minn Hinsti Dans,Paul Oscar,20,18,
Iceland,1996,Sjúbídú,Anna Mjöll,13,51,#10 in qualification
Iceland,1995,Núna,Bó Halldórsson,15,31,
Iceland,1994,Nætur,Sigga,12,49,
Iceland,1993,þá Veistu Svarið,Inga,13,42,
Iceland,1992,Nei Eða Já,Heart 2 Heart,7,80,
Iceland,1991,Nina,Stefán & Eyfi,15,26,
Iceland,1990,Eitt Lag Enn,Stjórnin,4,124,
Iceland,1989,Það Sem Enginn Sér,Daníel Augúst Haraldsson,22,0,
Iceland,1988,Sókrates,Beathoven,16,20,
Iceland,1987,Hægt Og Hljótt,Halla Margarét,16,28,
Iceland,1986,Gleðibankinn,Icy,16,19,
Italy,2023,–,,–,–,Big 5
Italy,2022,Brividi,Mahmood & Blanco,6,268,Big 5
Italy,2021,Zitti e buoni,Måneskin,#1,524,Big 5
Italy,2020,Fai rumore,Diodato,,,cancelled
Italy,2019,Soldi,Mahmood,2,472,Big 5
Italy,2018,Non Mi Avete Fatto Niente,Ermal Meta & Fabrizio Moro,5,308,Big 5
Italy,2017,Occidentali's Karma,Francesco Gabbani,6,334,Big 5
Italy,2016,No Degree of Separation,Francesca Michielin,16,124,Big 5
Italy,2015,Grande Amore,Il Volo,3,292,Big 5
Italy,2014,La Mia Città,Emma,21,33,Big 5
Italy,2013,L'Essenziale,Marco Mengoni,7,126,Big 5
Italy,2012,L'Amore È Femmina (Out Of Love),Nina Zilli,9,101,Big 5
Italy,2011,Madness Of Love,Raphael Gualazzi,2,189,Big 5
Italy,1997,Fiumi Di Parole,Jalisse,4,114,
Italy,1993,Sole D'europa,Enrico Ruggeri,12,45,
Italy,1992,Rapsodia,Mia Martini,4,111,
Italy,1991,Comme E' Ddoce 'o Mare,Peppino di Capri,7,89,
Italy,1990,Insieme: 1992,Toto Cutugno,#1,149,
Italy,1989,Avrei Voluto,Anna Oxa and Fausto Leali,9,56,
Italy,1988,Ti Scrivo,Luca Barbarossa,12,52,
Italy,1987,Gente Di Mare,Umberto Tozzi and Raf,3,103,
Italy,1985,"Magic, Oh Magic",Al Bano and Romina Power,7,78,
Italy,1984,I Treni Di Tozeur,Alice & Battiato,5,70,
Italy,1983,Per Lucia,Riccardo Fogli,11,41,
Italy,1980,Non So Che Darei,Alan Sorrenti,6,87,
Italy,1979,Raggio Di Luna,Matia Bazar,15,27,
Italy,1978,Questo Amore,Ricchi e Poveri,12,53,
Italy,1977,Liberà,Mia Martini,13,33,
Italy,1976,We'll Live It All Again,Romina and Al Bano,7,69,
Italy,1975,Era,Wess & Dori Ghezzi,3,115,
Italy,1974,Si,Gigliola Cinquetti,2,18,
Italy,1973,Chi Sarà Con Te,Massimo Ranieri,13,74,
Italy,1972,I Giorni Dell' Arcobaleno,Nicola di Bari,6,92,
Italy,1971,L'amore è Un Attimo,Massimo Ranieri,5,91,
Italy,1970,Occhi Di Ragazza,Gianni Morandi,8,5,
Italy,1969,Due Grosse Lacrime Bianche,Iva Zanicchi,13,5,
Italy,1968,Marianne,Sergio Endrigo,10,7,
Italy,1967,Non Andare Più Lontano,Claudio Villa,11,4,
Italy,1966,Dio Come Ti Amo,Domenico Modugno,17,0,
Italy,1965,"Se Piangi, Se Ridi",Bobby Solo,5,15,
Italy,1964,Non Ho L'étà,Gigliola Cinquetti,#1,49,
Italy,1963,Uno Per Tutte,Emilio Pericoli,3,37,
Italy,1962,"Addio, Addio",Claudio Villa,9,3,
Italy,1961,Al Di Là,Betty Curtis,5,12,
Italy,1960,Romantica,Renato Rascel,8,5,
Italy,1959,Piove,Domenico Modugno,6,9,
Italy,1958,Nel Blu Dipinto Di Blu,Domenico Modugno,3,13,
Italy,1957,Corde Della Mia Chitarra,Nunzio Gallo,6,7,
Italy,1956,Aprite Le Finestre,Franca Raimondi,2,–,
Italy,1956,Amami Se Vuoi,Tonina Torielli,2,–,
Ireland,2023,–,,–,–,semi-final
Ireland,2022,That's Rich,Brooke Scullion,Didn't qualify,,#15 in semi-final 2
Ireland,2021,Maps,Lesley Roy,Didn't qualify,,#16 in semi-final 1
Ireland,2020,Story Of My Life,Lesley Roy,,,cancelled
Ireland,2019,22,Sarah McTernan,Didn't qualify,,#18 in semi-final 2
Ireland,2018,Together,Ryan O'Shaughnessy,16,136,#6 in semi-final 1
Ireland,2017,Dying To Try,Brendan Murray,Didn't qualify,,#13 in semi-final 2
Ireland,2016,Sunlight,Nicky Byrne,Didn't qualify,,#15 in semi-final 2
Ireland,2015,Playing With Numbers,Molly Sterling,Didn't qualify,,#12 in semi-final 2
Ireland,2014,Heartbeat,Can-Linn feat. Kasey Smith,Didn't qualify,,#12 in semi-final 2
Ireland,2013,Only Love Survives,Ryan Dolan,26,5,#8 in semi-final 1
Ireland,2012,Waterline,Jedward,19,46,#6 in semi-final 1
Ireland,2011,Lipstick,Jedward,8,119,#8 in semi-final 2
Ireland,2010,It's For You,Niamh Kavanagh,23,25,#9 in semi-final 2
Ireland,2009,Et Cetera,Sinéad Mulvey & Black Daisy,Didn't qualify,,#11 in semi-final 2
Ireland,2008,Irelande Douze Pointe,Dustin the Turkey,Didn't qualify,,#15 in semi-final 1
Ireland,2007,They Can't Stop The Spring,Dervish,24,5,Top-10 2006
Ireland,2006,Every Song Is A Cry For Love,Brian Kennedy,10,93,#9 in semi-final
Ireland,2005,Love?,Donna & Joseph McCaul,Didn't qualify,,#14 in semi-final
Ireland,2004,If My World Stopped Turning,Chris Doran,22,7,Top-10 2003
Ireland,2003,We've Got The World,Mickey Harte,11,53,
Ireland,2001,Without Your Love,Gary O'Shaughnessy,21,6,
Ireland,2000,Millennium Of Love,Eamonn Toal,6,92,
Ireland,1999,When You Need Me,The Mullan's,17,18,
Ireland,1998,Is Always Over Now?,Dawn,9,64,
Ireland,1997,Mysterious Woman,Marc Roberts,2,157,
Ireland,1996,The Voice,Eimear Quinn,#1,162,#2 in qualification
Ireland,1995,Dreamin',Eddie Friel,14,44,
Ireland,1994,Rock 'n' Roll Kids,Paul Harrington & Charlie McGettigan,#1,226,
Ireland,1993,In Your Eyes,Niamh Kavanagh,#1,187,
Ireland,1992,Why Me,Linda Martin,#1,155,
Ireland,1991,Could It Be That I'm In Love,Kim Jackson,10,47,
Ireland,1990,Somewhere In Europe,Liam Reilly,2,132,
Ireland,1989,The Real Me,Kiev Connolly and the Missing Passengers,18,21,
Ireland,1988,Take Him Home,Jump the Gun,8,79,
Ireland,1987,Hold Me Now,Johnny Logan,#1,172,
Ireland,1986,You Can Count On Me,Luv Bug,4,96,
Ireland,1985,Wait Until The Weekend Comes,Maria Christian,6,91,
Ireland,1984,Terminal '3',Linda Martin,2,137,
Ireland,1982,"Here Today, Gone Tomorrow",The Duskeys,11,49,
Ireland,1981,Horoscopes,Sheeba,5,105,
Ireland,1980,What's Another Year,Johnny Logan,#1,143,
Ireland,1979,Happy Man,Cathal Dunne,5,80,
Ireland,1978,Born To Sing,Colm T. Wilkinson,5,86,
Ireland,1977,It's Nice To Be In Love Again,The Swarbriggs Plus Two,3,119,
Ireland,1976,When,Red Hurley,10,54,
Ireland,1975,That's What Friends Are For,The Swarbriggs,9,68,
Ireland,1974,Cross Your Heart,Tina,7,11,
Ireland,1973,Do I Dream?,Maxi,10,80,
Ireland,1972,Ceol On Ghrá,Sandie Jones,15,72,
Ireland,1971,One Day Love,Angela Farrell,11,79,
Ireland,1970,All Kinds Of Everything,Dana,#1,32,
Ireland,1969,The Wages Of Love,Muriel Day and the Lindsays,7,10,
Ireland,1968,Chance Of A Lifetime,Pat McGeegan,4,18,
Ireland,1967,If I Could Choose,Sean Dunphy,2,22,
Ireland,1966,Come Back To Stay,Dickie Rock,4,14,
Ireland,1965,I'm Walking The Streets In The Rain,Butch Moore,6,11,
Luxembourg,1993,Donne-moi Une Chance,Modern Times,20,11,
Luxembourg,1992,Sou Fräi,Marion Welter and Kontinent,21,10,
Luxembourg,1991,Un Baiser Volé,Sarah Bray,14,29,
Luxembourg,1990,Quand Je Te Rêve,Céline Carzo,13,38,
Luxembourg,1989,Monsieur,Park Café,20,8,
Luxembourg,1988,Croire,Lara Fabian,4,90,
Luxembourg,1987,Amour Amour,Plastic Bertrand,21,4,
Luxembourg,1986,L'amour De Ma Vie,Sherisse Laurence,3,117,
Luxembourg,1985,"Children, Kinder, Enfants","Margo, Franck, Diane, Ireen, Malcolm & Chris",13,37,
Luxembourg,1984,100% D'amour,Sophie Carle,10,39,
Luxembourg,1983,Si La Vie Est Cadeau,Corinne Hermès,#1,142,
Luxembourg,1982,Cour Apres Le Temps,Svetlana,6,78,
Luxembourg,1981,C'est Peut-être Pas L'Amérique,Jean-Claude Pascal,11,41,
Luxembourg,1980,Papa Pingouin,Sophie and Magaly,9,56,
Luxembourg,1979,J'ai Déjà Vu ça Dans Tes Yeux,Jeane Manson,13,44,
Luxembourg,1978,Parlez-vous Français?,Baccara,7,73,
Luxembourg,1977,Frère Jacques,Anne Marie B.,16,17,
Luxembourg,1976,Chansons Pour Ceux Qui S'aiment,Jürgen Marcus,14,17,
Luxembourg,1975,Toi,Géraldine,5,84,
Luxembourg,1974,"Bye, Bye, I Love You",Ireen Sheer,4,14,
Luxembourg,1973,Tu Te Reconnaîtras,Anne-Marie David,#1,129,
Luxembourg,1972,Après Toi,Vicky Leandros,#1,128,
Luxembourg,1971,"Pomme, Pomme, Pomme",Monique Melsen,13,70,
Luxembourg,1970,Je Suis Tombé Du Ciel,David-Alexandre Winter,12,0,
Luxembourg,1969,Cathérine,Romuald,11,7,
Luxembourg,1968,Nous Vivrons D'amour,Chris Baldo & Sophie Garel,11,5,
Luxembourg,1967,L'amour Est Bleu,Vicky,4,17,
Luxembourg,1966,Ce Soir Je T'attendais,Michèle Torr,10,7,
Luxembourg,1965,"Poupée De Cire, Poupée De Son",France Gall,#1,32,
Luxembourg,1964,Dès Que Le Printemps Revient,Hugues Aufray,4,14,
Luxembourg,1963,A Force De Prier,Nana Mouskouri,8,13,
Luxembourg,1962,Petit Bonhomme,Camillo Felgen,3,11,
Luxembourg,1961,Nous Les Amoureux,Jean-Claude Pascal,#1,31,
Luxembourg,1960,So Laang We's Du Do Bast,Camillo Felgen,13,1,
Luxembourg,1958,Un Grand Amour,Solange Berry,9,1,
Luxembourg,1957,Amours Mortes (Tant De Peine),Danièle Dupré,4,8,
Luxembourg,1956,Ne Crois Pas,Michèle Arnaud,2,–,
Luxembourg,1956,Les Amants De Minuit,Michèle Arnaud,2,–,
Israel,2023,–,Noa Kirel,–,–,semi-final
Israel,2022,I.M,Michael Ben David,Didn't qualify,,#13 in semi-final 2
Israel,2021,Set Me Free,Eden Alene,17,93,#5 in semi-final 1
Israel,2020,Feker Libi,Eden Alene,,,cancelled
Israel,2019,Home,Kobi Marimi,23,35,winner 2018
Israel,2018,Toy,Netta,#1,529,#1 in semi-final 1
Israel,2017,I Feel Alive,Imri Ziv,23,39,#3 in semi-final 2
Israel,2016,Made of Stars,Hovi Star,14,135,#7 in semi-final 2
Israel,2015,Golden Boy,Nadav Guedj,9,97,#3 in semi-final 2
Israel,2014,Same Heart,Mei Finegold,Didn't qualify,,#14 in semi-final 2
Israel,2013,Rak Bishvilo,Moran Mazor,Didn't qualify,,#14 in semi-final 2
Israel,2012,Time,Izabo,Didn't qualify,,#13 in semi-final 1
Israel,2011,Ding Dong,Dana International,Didn't qualify,,#15 in semi-final 2
Israel,2010,Milim,Harel Skaat,14,71,#8 in semi-final 2
Israel,2009,There Must Be Another Way,Noa & Mira Awad,16,53,#7 in semi-final 1
Israel,2008,The Fire In Your Eyes,Boaz,9,124,#5 in semi-final 1
Israel,2007,Push The Button,Teapacks,Didn't qualify,,#24 in semi-final
Israel,2006,Ze Hazman,Eddie Butler,23,4,Top-10 2005
Israel,2005,Hasheket Shenish'ar,Shiri Maymon,4,154,#7 in semi-final
Israel,2004,Le'ha'amin,David D'or,Didn't qualify,,#11 in semi-final
Israel,2003,Words For Love,Lior Narkis,19,17,
Israel,2002,Light A Candle,Sarit Hadad,12,37,
Israel,2001,Ein Davar,Tal Sondak,16,25,
Israel,2000,Sa'me'akh,Ping Pong,22,7,
Israel,1999,Yom Huledeth,Eden,5,93,
Israel,1998,Diva,Dana International,#1,172,
Israel,1996,Shalom Olam,Galit Bell,Didn't qualify,,#28 in qualification
Israel,1995,Amen,Liora,8,81,
Israel,1993,Shiru,Lakahat Shiru,24,4,
Israel,1992,Ze Rak Sport,Dafna,6,85,
Israel,1991,Kan,Duo Datz,3,139,
Israel,1990,Shara Barechovot,Rita,18,16,
Israel,1989,Derech Ha'melech,Gili & Galit,12,50,
Israel,1988,Ben Adam,Yardena Arazi,7,85,
Israel,1987,Shir Habatlanim,Datner & Kushnir,8,73,
Israel,1986,Yavoh Yom,Moti Galadi and Sarai Tzuriel,19,7,
Israel,1985,Olé Olé,Izhar Cohen,5,93,
Israel,1983,Hi,Ofra Haza,2,136,
Israel,1982,Hora,Avi Toledano,2,100,
Israel,1981,Halaylah,Habibi,7,56,
Israel,1979,Hallelujah,Milk and Honey,#1,125,
Israel,1978,A-Ba-Ni-Bi,Izhar Cohen and the Alphabeta,#1,157,
Israel,1977,Ah-haa-vah Hee Shir Lish-naa-yim,Ilanit,11,49,
Israel,1976,Emor Shalom,"Chocolate, Menta, Mastik",6,77,
Israel,1975,At Va'Ani,Shlomo Artzi,11,40,
Israel,1974,Natati La Khayay,Kaveret (Poogy),7,11,
Israel,1973,Ey-sham,Ilanit,4,97,
Malta,2023,–,,–,–,semi-final
Malta,2022,I Am What I Am,Emma Muscat,Didn't qualify,,#16 in semi-final 2
Malta,2021,Je Me Casse,Destiny,7,255,#1 in semi-final 1
Malta,2020,All Of My Love,Destiny,,,cancelled
Malta,2019,Chameleon,Michela,14,107,#8 in semi-final 2
Malta,2018,Taboo,Christabelle,Didn't qualify,,#13 in semi-final 2
Malta,2017,Breathlessly,Claudia Faniello,Didn't qualify,,#16 in semi-final 2
Malta,2016,Walk on Water,Ira Losco,12,153,#3 in semi-final 1
Malta,2015,Warrior,Amber,Didn't qualify,,#11 in semi-final 2
Malta,2014,Coming Home,Firelight,23,32,#9 in semi-final 2
Malta,2013,Tomorrow,Gianluca,8,120,#4 in semi-final 2
Malta,2012,This Is The Night,Kurt Calleja,21,41,#7 in semi-final 2
Malta,2011,One Life,Glen Vella,Didn't qualify,,#11 in semi-final 1
Malta,2010,My Dream,Thea Garrett,Didn't qualify,,#12 in semi-final 1
Malta,2009,What If We,Chiara,22,31,#6 in semi-final 1
Malta,2008,Vodka,Morena,Didn't qualify,,#14 in semi-final 2
Malta,2007,Vertigo,Olivia Lewis,Didn't qualify,,#25 in semi-final
Malta,2006,I Do,Fabrizio Faniello,24,1,Top-10 2005
Malta,2005,Angel,Chiara,2,192,Top-10 2004
Malta,2004,On again... off again,Julie & Ludwig,12,50,#8 in semi-final
Malta,2003,To Dream Again,Lynn Chirchop,25,4,
Malta,2002,7th Wonder,Ira Losco,2,164,
Malta,2001,Another Summer Night,Fabrizio Faniello,9,48,
Malta,2000,Desire,Claudette Pace,8,73,
Malta,1999,Believe 'n Peace,Times 3,15,32,
Malta,1998,The One That I Love,Chiara,3,165,
Malta,1997,Let Me Fly,Debbie Scerri,9,66,
Malta,1996,In A Woman's Heart,Miriam Christine,10,68,#4 in qualification
Malta,1995,Keep Me In Mind,Mike Spiteri,10,76,
Malta,1994,More Than Love,Moira Stafrace & Christopher Scicluna,5,97,
Malta,1993,This Time,William Mangion,8,69,
Malta,1992,Little Child,Mary Spiteri,3,123,
Malta,1991,Could It Be,Paul Giordimaina & Georgina,6,106,
Malta,1975,Singing This Song,Renato,12,32,
Malta,1972,L-imħabba,Helen & Joseph,18,48,
Malta,1971,Marija L-Maltija,Joe Grech,18,52,
Lithuania,2023,–,,–,–,semi-final
Lithuania,2022,Sentimentai,Monika Liu,14,128,#7 in semi-final 1
Lithuania,2021,Discoteque,The Roop,8,220,#4 in semi-final 1
Lithuania,2020,On Fire,The Roop,,,cancelled
Lithuania,2019,Run with the Lions,Jurij Veklenko,Didn't qualify,,#11 in semi-final 2
Lithuania,2018,When We're Old,Ieva Zasimauskaitė,12,181,#9 in semi-final 1
Lithuania,2017,Rain Of Revolution,Fusedmarc,Didn't qualify,,#17 in semi-final 2
Lithuania,2016,I've Been Waiting for This Night,Donny Montell,9,200,#4 in semi-final 2
Lithuania,2015,This Time,Monika & Vaidas,18,30,#7 in semi-final 2
Lithuania,2014,Attention,Vilija Matačiūnaitė,Didn't qualify,,#11 in semi-final 2
Lithuania,2013,Something,Andrius Pojavis,22,17,#9 in semi-final 1
Lithuania,2012,Love Is Blind,Donny Montell,14,70,#3 in semi-final 2
Lithuania,2011,C'est Ma Vie,Evelina Sašenko,19,63,#5 in semi-final 1
Lithuania,2010,Eastern European Funk,InCulto,Didn't qualify,,#12 in semi-final 2
Lithuania,2009,Love,Sasha Son,23,23,#9 in semi-final 2
Lithuania,2008,Nomads In The Night,Jeronimas Milius,Didn't qualify,,#16 in semi-final 2
Lithuania,2007,Love Or Leave,4Fun,21,28,Top-10 2006
Lithuania,2006,We Are The Winners,LT United,6,162,#5 in semi-final
Lithuania,2005,Little By Little,Laura and the Lovers,Didn't qualify,,#25 in semi-final
Lithuania,2004,What's Happened To Your Love,Linas ir Simona,Didn't qualify,,#16 in semi-final
Lithuania,2002,Happy You,Aivaras,23,12,
Lithuania,2001,You Got Style,Skamp,13,35,
Lithuania,1999,Strazdas,Aiste Smilgeviciute,20,13,
Lithuania,1994,Lopšinė mylimai,Ovidijus Vyšniauskas,25,0,
Moldova,2023,–,,–,–,semi-final
Moldova,2022,Trenuleţul,Zdob şi Zdub & Advahov Brothers,7,253,#8 in semi-final 1
Moldova,2021,Sugar,Natalia Gordienko,13,115,#7 in semi-final 2
Moldova,2020,Prison,Natalia Gordienko,,,cancelled
Moldova,2019,Stay,Anna Odobescu,Didn't qualify,,#12 in semi-final 2
Moldova,2018,My Lucky Day,DoReDos,10,209,#3 in semi-final 2
Moldova,2017,Hey Mamma,Sunstroke Project,3,374,#2 in semi-final 1
Moldova,2016,Falling Stars,Lidia Isac,Didn't qualify,,#17 in semi-final 1
Moldova,2015,I Want Your Love,Eduard Romanyuta,Didn't qualify,,#11 in semi-final 1
Moldova,2014,Wild Soul,Cristina Scarlat,Didn't qualify,,#16 in semi-final 1
Moldova,2013,O Mie,Aliona Moon,11,71,#4 in semi-final 1
Moldova,2012,Lăutar,Pasha Parfeny,11,81,#5 in semi-final 1
Moldova,2011,So Lucky,Zdob și Zdub,12,97,#10 in semi-final 2
Moldova,2010,Run Away,Sunstroke Project & Olia Tira,22,27,#10 in semi-final 1
Moldova,2009,Hora Din Moldova,Nelly Ciobanu,14,69,#5 in semi-final 2
Moldova,2008,A Century Of Love,Geta Burlacu,Didn't qualify,,#12 in semi-final 1
Moldova,2007,Fight,Natalia Barbu,10,109,#10 in semi-final
Moldova,2006,Loca,Arsenium & Natalia Gordienko,20,22,Top-10 2005
Moldova,2005,Boonika Bate Doba,Zdob şi Zdub,6,148,#2 in semi-final
Latvia,2023,–,,–,–,semi-final
Latvia,2022,Eat Your Salad,Citi Zēni,Didn't qualify,,#14 in semi-final 1
Latvia,2021,The Moon Is Rising,Samanta Tīna,Didn't qualify,,#17 in semi-final 2
Latvia,2020,Still Breathing,Samanta Tīna,,,cancelled
Latvia,2019,That Night,Carousel,Didn't qualify,,#15 in semi-final 2
Latvia,2018,Funny Girl,Laura Rizzotto,Didn't qualify,,#12 in semi-final 2
Latvia,2017,Line,Triana Park,Didn't qualify,,#18 in semi-final 1
Latvia,2016,Heartbeat,Justs,15,132,#8 in semi-final 2
Latvia,2015,Love Injected,Aminata Savadogo,6,186,#2 in semi-final 2
Latvia,2014,Cake To Bake,Aarzemnieki,Didn't qualify,,#13 in semi-final 1
Latvia,2013,Here We Go,PeR,Didn't qualify,,#17 in semi-final 2
Latvia,2012,Beautiful Song,Anmary,Didn't qualify,,#16 in semi-final 1
Latvia,2011,Angel In Disguise,Musiqq,Didn't qualify,,#17 in semi-final 2
Latvia,2010,What For?,Aisha,Didn't qualify,,#17 in semi-final 1
Latvia,2009,Probka,Intars Busulis,Didn't qualify,,#19 in semi-final 2
Latvia,2008,Wolves Of The Sea,Pirates Of The Sea,12,83,#6 in semi-final 2
Latvia,2007,Questa Notte,Bonaparti.lv,16,54,#5 in semi-final
Latvia,2006,I Hear Your Heart,Cosmos,16,30,Top-10 2005
Latvia,2005,The War Is Not Over,Walters & Kazha,5,153,#10 in semi-final
Latvia,2004,Dziesma Par Laimi,Fomins & Kleins,Didn't qualify,,#17 in semi-final
Latvia,2003,Hello From Mars,F.L.Y.,24,5,
Latvia,2002,I Wanna,Marie N,#1,176,
Latvia,2001,Too Much,Arnis Mednis,18,16,
Latvia,2000,My Star,BrainStorm,3,136,
Norway,2023,–,,–,–,semi-final
Norway,2022,Give That Wolf a Banana,Subwoolfer,10,182,#6 in semi-final 1
Norway,2021,Fallen Angel,TIX,18,75,#10 in semi-final 1
Norway,2020,Attention,Ulrikke,,,cancelled
Norway,2019,Spirit in the Sky,KEiiNO,6,331,#7 in semi-final 2
Norway,2018,That's How You Write a Song,Alexander Rybak,15,144,#1 in semi-final 2
Norway,2017,Grab the Moment,Jowst,10,158,#5 in semi-final 2
Norway,2016,Icebreaker,Agnete,Didn't qualify,,#13 in semi-final 2
Norway,2015,A Monster Like Me,Mørland & Debrah Scarlett,8,102,#4 in semi-final 2
Norway,2014,Silent Storm,Carl Espen,8,88,#6 in semi-final 2
Norway,2013,I Feed You My Love,Margaret Berger,4,191,#3 in semi-final 2
Norway,2012,Stay,Tooji,26,7,#10 in semi-final 2
Norway,2011,Haba Haba,Stella Mwangi,Didn't qualify,,#17 in semi-final 1
Norway,2010,My Heart Is Yours,Didrik Solli-Tangen,20,35,winner 2009
Norway,2009,Fairytale,Alexander Rybak,#1,387,#1 in semi-final 2
Norway,2008,Hold On Be Strong,Maria,5,182,#4 in semi-final 1
Norway,2007,Ven A Bailar Conmigo,Guri Schanke,Didn't qualify,,#18 in semi-final
Norway,2006,Alvedansen,Christine Guldbrandsen,14,36,Top-10 2005
Norway,2005,In My Dreams,Wig Wam,9,125,#6 in semi-final
Norway,2004,High,Knut Anders Sørum,24,3,Top-10 2003
Norway,2003,I'm Not Afraid To Move On,Jostein Hasselgård,4,123,
Norway,2001,On My Own,Haldor Lægreid,22,3,
Norway,2000,My Heart Goes Boom,Charmed,11,57,
Norway,1999,Living My Life Without You,Stig André Van Eijk,14,35,
Norway,1998,Alltid Sommer,Lars A. Fredriksen,8,79,
Norway,1997,San Francisco,Tor Endresen,24,0,
Norway,1996,I Evighet,Elisabeth Andreasson,2,114,
Norway,1995,Nocturne,Secret Garden,#1,148,
Norway,1994,Duett,Elisabeth Andreasson & Jan Werner Danielsen,6,76,
Norway,1993,Alle Mine Tankar,Silje Vige,5,120,
Norway,1992,Visjoner,Merethe Trøan,18,23,
Norway,1991,Mrs. Thompson,Just 4 Fun,17,14,
Norway,1990,Brandenburger Tor,Ketil Stokkan,21,8,
Norway,1989,Venners Nærhet,Britt Synnøve Johansen,17,30,
Norway,1988,For Vår Jord,Karoline Krüger,5,88,
Norway,1987,Mitt Liv,Kate Gulbrandsen,9,65,
Norway,1986,Romeo,Ketil Stokkan,12,44,
Norway,1985,La Det Swinge,Bobbysocks,#1,123,
Norway,1984,Lenge Leve Livet,Dollie de Luxe,17,29,
Norway,1983,Do Re Mi,Jahn Teigen,9,53,
Norway,1982,Adieu,Jahn Teigen & Anita Skorgan,12,40,
Norway,1981,Aldri i Livet,Finn Kalvik,20,0,
Norway,1980,Sámiid Ædnan,Sverre Kjellsberg & Mattis Hætta,16,15,
Norway,1979,Oliver,Anita Skorgan,11,57,
Norway,1978,Mil Etter Mil,Jahn Teigen,20,0,
Norway,1977,Casanova,Anita Skorgan,14,18,
Norway,1976,Mata Hari,Anne-Karine Ström,18,7,
Norway,1975,You Touched My Life With Summer,Ellen Nikolaysen,18,11,
Norway,1974,The First Day Of Love,Anne-Karine Ström and the Bendik Singers,14,3,
Norway,1973,It's Just A Game,Bendik Singers,7,89,
Norway,1972,Småting,Grethe Kausland & Benny Borg,14,73,
Norway,1971,Lykken Er...,Hanne Krogh,17,65,
Norway,1969,"Oj, Oj, Oj, Så Glad, Jeg Skal Bli",Kirsti Sparboe,16,1,
Norway,1968,Stress,Odd Børre,13,2,
Norway,1967,Dukkemann,Kirsti Sparboe,14,2,
Norway,1966,Intet Er Nytt Under Solen,Åse Kleveland,3,15,
Norway,1965,Karusell,Kirsti Sparboe,13,1,
Norway,1964,Spiral,Arne Bendiksen,8,6,
Norway,1963,Solhverv,Anita Thallaug,13,0,
Norway,1962,"Kom Sol, Kom Regn",Inger Jacobsen,10,2,
Norway,1961,Sommer i Palma,Nora Brockstedt,7,10,
Norway,1960,Voi-voi,Nora Brockstedt,4,11,
Montenegro,2022,Breathe,Vladana,Didn't qualify,,#17 in semi-final 2
Montenegro,2019,Heaven,D mol,Didn't qualify,,#16 in semi-final 1
Montenegro,2018,Inje,Vanja Radovanović,Didn't qualify,,#16 in semi-final 2
Montenegro,2017,Space,Slavko Kalezić,Didn't qualify,,#16 in semi-final 1
Montenegro,2016,The Real Thing,Highway,Didn't qualify,,#13 in semi-final 1
Montenegro,2015,Adio,Knez,13,44,#9 in semi-final 2
Montenegro,2014,Moj Svijet,Sergej Ćetković,19,37,#7 in semi-final 1
Montenegro,2013,Igranka,Who See,Didn't qualify,,#12 in semi-final 1
Montenegro,2012,Euro Neuro,Rambo Amadeus,Didn't qualify,,#15 in semi-final 1
Montenegro,2009,Just Get Out of My Life,Andrea Demirović,Didn't qualify,,#11 in semi-final 1
Montenegro,2008,Zauvijek Volim Te,Stefan Filipović,Didn't qualify,,#14 in semi-final 1
Montenegro,2007,Ajde Kroci,Stevan Faddy,Didn't qualify,,#22 in semi-final
Romania,2023,–,,–,–,semi-final
Romania,2022,Llámame,WRS,18,65,#9 in semi-final 2
Romania,2021,Amnesia,Roxen,Didn't qualify,,#12 in semi-final 1
Romania,2020,Alcohol You,Roxen,,,cancelled
Romania,2019,On a Sunday,Ester Peony,Didn't qualify,,#13 in semi-final 2
Romania,2018,Goodbye,The Humans,Didn't qualify,,#11 in semi-final 2
Romania,2017,Yodel It!,Ilinca feat. Alex Florea,7,282,#6 in semi-final 2
Romania,2015,De La Capăt / All Over Again,Voltaj,15,35,#5 in semi-final 1
Romania,2014,Miracle,Paula Seling & OVI,12,72,#2 in semi-final 2
Romania,2013,It's My Life,Cezar,13,65,#5 in semi-final 2
Romania,2012,Zaleilah,Mandinga,12,71,#3 in semi-final 1
Romania,2011,Change,Hotel FM,17,77,#4 in semi-final 2
Romania,2010,Playing With Fire,Paula Seling & Ovi,3,162,#4 in semi-final 2
Romania,2009,The Balkan Girls,Elena,19,40,#9 in semi-final 1
Romania,2008,Pe-o Margine De Lume,Nico & Vlad,20,45,#7 in semi-final 1
Romania,2007,"Liubi, Liubi, I Love You",Todomondo,13,84,Top-10 2006
Romania,2006,Tornero,Mihai Traistariu,4,172,Top-10 2005
Romania,2005,Let Me Try,Luminita Anghel & Sistem,3,158,#1 in semi-final
Romania,2004,I Admit,Sanda Ladosi,18,18,Top-10 2003
